model_name,model_url,app_list,total_app
cardiffnlp/twitter-roberta-base-sentiment-latest,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,"['zama-fhe/encrypted_sentiment_analysis', 'jmparejaz/Audio_to_text_classification', 'tinkoff-ai/caif', 'Margaret/mazzuma-sentiment-engine', 'rizam/rakeeb_text-classification', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', '834188divi/cardiffnlp-twitter-roberta-base-sentiment-latest', 'ThankGod/text-classification', 'rizam/rakeeb_tweet_sentiment', 'bradarrML/encrypted_sentiment_analysis', 'mattaylor/embedding', 'FrancescoBerg/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dajayk12/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dvilasuero/gradio-argilla-logger', 'Daniton/cardiffnlp-twitter-roberta-base-sentiment-latest', 'Daniton/cardiffnlp-twitter-roberta-base-sentiment-latestd', 'Daniton/cardiffnlp-twitter-roberta-base-sentidment-latestd', 'Daniton/cardiffnlp-twitter-roberta-based-sentidment-latestd', 'Daniton/cardiffnlp-twitter-robertam-based-sentidment-latestd', 'Daniton/cardiffnlp-twitter-robertam-based-sentiddment-latestd', 'Daniton/cardiffnlp-twitter-drobertam-based-sentiddment-latestd', 'Daniton/cardiffnlp-twitter-drobertam-basedd-sentiddment-latestd', 'lsacy/menduChat', 'quni/cardiffnlp-twitter-roberta-base-sentiment-latest', 'cscan/Audio_to_text_classification', 'pranjal065/process_fest', 'JulianHame/sentiment-analysis-app', 'Pruthul/CS482-104-Milestone2', 'alpha-hp/twitter-s', 'alpha-hp/cardiffnlp-twitter-roberta-base-sentiment-latest', 'metaknightccc/sentiment-analysis-app', 'JKJanosko/Toxicity-Analysis', 'kya5/CS482-Milestone2', 'bobrooos/cardiffnlp-twitter-roberta-base-sentiment-latest', 'zox47/cardiffnlp-twitter-roberta-base-sentiment-latest', 'MikeJeong/CS482-FineTune', 'MikeJeong/CSProject', 'MikeJeong/apppp', 'KunaalNaik/SentmentAnalysis_HF1', 'Mahipal/nlp_dashboard', 'rphrp1985/text-sentiment-1', 'prlabs2023/text-sentiment-1', 'Dranities/chatbots', 'TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest', 'TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest-gradio', 'AIConsultant/sentiment-analysis-system', 'dilums/twitter-sentiment', 'salmanmoh/cardiffnlp-twitter-roberta-base-sentiment-latest', '10isha/cardiffnlp-twitter-roberta-base-sentiment-latest', 'PradeepKumar11519/1stspace', 'saipranaydeep/demo', 'miscjose/Data-Annotation-Tool', 'sotirios-slv/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dai152/1', 'Fatima33/cardiffnlp-twitter-roberta-base-sentiment-latest', 'springchill/cardiffnlp-sentiment', 'data2science/cardiffnlp-twitter-roberta-base-sentiment-latest', 'wsaults/cardiffnlp-twitter-roberta-base-sentiment-latest', 'umair894/hamri-sumerization-wali-app', 'dx1/cardiffnlp-twitter-roberta-base-sentiment-latest', 'nyangasi/Twitter_Sentiment_Analysis_App', 'farooq-09/cardiffnlp-twitter-roberta-base-sentiment-latest', 'subhannadeem1/Audio_to_text_classification']",63
martin-ha/toxic-comment-model,https://huggingface.co/martin-ha/toxic-comment-model,['lu2000luk/toxic'],1
cardiffnlp/twitter-xlm-roberta-base-sentiment,https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base-sentiment,"['g8a9/ferret', 'kyled/PhraseSentimentEmotionAnalysis', 'imperialwool/funapi', 'Sudheer/Pandavas3.0', 'msalazark/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'junming-qiu/toxic-tweets-milestone-2', 'magnolia-psychometrics/item-desirability-demo', 'Pruthul/CS482-104-Milestone2', 'Ariel8/sentiment-analysis', 'sm2899/sentiment-analysis', 'thotranexe/milestone2', 'Ariel8/Toxic-Tweets', 'kya5/CS482-Milestone2', 'zox47/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'unaiolaizola/analisis_metacognitivo', 'psycen/cardiffnlp-twitter-xlm-roberta-base-sentiment', '834188divi/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'holistic-ai/emotion-recognition']",18
koheiduck/bert-japanese-finetuned-sentiment,https://huggingface.co/koheiduck/bert-japanese-finetuned-sentiment,[],0
savasy/bert-base-turkish-sentiment-cased,https://huggingface.co/savasy/bert-base-turkish-sentiment-cased,"['savasy/SentimentHistogramForTurkish', 'savasy/Twitter2SentiForTurkish', 'alperbayram/Duygu_Analizi', 'Hasangzc/TurkishNLP_Try', 'Bedirhan/bitirme-proje', 'Melis/MySpaceName', 'memojja/sentiment-analysis-example', 'maliaydemir/news-generator', 'onuraycicek/firstai', 'fatihdemirci88/test01', 'Murat62/muratduyguanalizi', 'Murat62/murat62duyguanalizi', 'furkinofaso/First_Training', 'melihsafaozbek/sentimentanaliz', 'Hediye/huggingface_deneme', 'AliNail/Koc', 'serdar2nc/kedi', 'Notfear/irfan_yildirim', 'nuribaba27/proje_1']",19
j-hartmann/emotion-english-distilroberta-base,https://huggingface.co/j-hartmann/emotion-english-distilroberta-base,"['ja-818/speech_and_text_emotion_recognition', 'j-hartmann/emotion-classification-from-csv', 'j-hartmann/emotion-similarity', 'gshotwell/multi-query-sentiment', 'jitesh/storytelling', 'awacke1/CSV2ClassifyVisualization', 'awacke1/CSVSentiment', 'lRoz/j-hartmann-emotion-english-distilroberta-base', 'elitecode/Detect_Emotions', 'abrar-adnan/speech-analyzer', 'awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', 'jpdiazpardo/jpdiazpardo-whisper-tiny-metal', 'samueldomdey/Emotion', 'asingh6/patient-sentiment-analysis', 'Puree/Lab_10', 'Guynaris/Lab10_620510564', 'n4th/nlp-reviews', 'Ozziey/emotion-classifier-from-string', 'CutieDev/j-hartmann-emotion-english-distilroberta-base', 'asdadaa/j-hartmann-emotion-english-distilroberta-base', 'leolinardi/j-hartmann-emotion-english-distilroberta-base', 'darthPanda/SentimentAnalysisTool', 'kahvem/aisense', 'utkarsh95m/j-hartmann-emotion-english-distilroberta-base', 'huzw1995/j-hartmann-emotion-english-distilroberta-base', 'Pruthul/CS482-104-Milestone2', 'dk3156/sentiment_analysis_app', 'dbleek/cs-gy-6613-project', 'jlaf01/sentiment-analysis-app', 'xingxing12/j-hartmann-emotion-english-distilroberta-base', 'whitphx/streamlit-multi-query-sentiment-analysis', 'dperales/ITACA_Insurance_Core_v4', 'JKJanosko/Toxicity-Analysis', 'kya5/CS482-Milestone2', 'danielperales/ITACA_Insurace_NLP_v2', 'dbleek/cs-gy-6613-project-final', 'Suzana/text_basic_emotions', 'aradWrhotshi/multi-query-sentiment', 'Alesmikes/speech_and_text_emotion_recognition', 'ShadowDominator/emotion-classification', 'ShadowDominator/sentiment-analysis', 'mohanchinnappan/senti', 'After-the-Dark/sentiment-analysis', 'devanshsrivastav/GoEmotions', 'SudhanshuBlaze/EmoDash', 'qnbhd/dp-dialogs-21', 'devanshsrivastav/goemotions2', 'miscjose/Data-Annotation-Tool', 'YaraKyrychenko/BERTinsights', 'vijaypq/pythonquants.ai', 'vijaypq/speechrecognition_summary_sentiment_analysis', 'dawng88/sachacks2023']",53
microsoft/deberta-large-mnli,https://huggingface.co/microsoft/deberta-large-mnli,['liuhaozhe6788/CelebChat'],1
papluca/xlm-roberta-base-language-detection,https://huggingface.co/papluca/xlm-roberta-base-language-detection,"['juancopi81/multilingual-stable-diffusion', 'team-language-detector/LanguageDetector', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', 'Msp/langauge_identifier', 'Msp/lang_id_flask', 'Felixogunwale/Convenant-language-detection', 'dperales/ITACA_Insurance_Core_v4', 'JKJanosko/Toxicity-Analysis', 'danielperales/ITACA_Insurace_NLP_v2', 'Chris4K/YAT', 'astrojuanlu/kedro-test-gradio', 'Demosthene-OR/avr23-cds-translation']",12
Seethal/sentiment_analysis_generic_dataset,https://huggingface.co/Seethal/sentiment_analysis_generic_dataset,"['Tihsrah/Hinglish-Text-Normalizer', 'codered/Seethal-sentiment_analysis_generic_dataset', 'MJ3128/CS-GY-6613-Project', 'Dakuso/Seethal-sentiment_analysis_generic_dataset', 'juliaannjose/SentimentAnalysis', 'sachiniyer/toxic-tweets', 'slachitoff/CS-GY_6613_Project', 'notbhu/toxic-tweets', 'D001/Seethal-sentiment_analysis_generic_dataset', 'I2C-UHU/test-app', 'djaaiin93/Seethal-sentiment_analysis_generic_dataset']",11
cross-encoder/ms-marco-MiniLM-L-12-v2,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L-12-v2,"['nickmuchi/semantic-search-with-retrieve-and-rerank', 'nickmuchi/Earnings-Call-Analysis-Whisperer', 'ugaray96/neural-search', 'smangrul/PEFT-Docs-QA-Chatbot', 'nickmuchi/Netflix-Semantic-Search-Whisperer', 'KonradSzafer/HF-QA-Demo', 'hf-qa-bot/hf-qa-demo', 'ComponentSoft/KubeWizard', 'Jai12345/App', 'MWilinski/HF-QA-Demo', 'IPN/first_space', 'Pavankalyan/Chitti_ver1', 'Pavankalyan/Chitti', 'alronlam/bible-search', 'orionweller/sentence-similarity-gradio-test', 'thisis-it/semantic-search-with-retrieve-and-rerank', 'DrDominikDellermann/InterviewAnalyzer', 'Slycat/PEFT-QA-Chatbot', 'Warlord-K/AVA', 'Manoj21k/Chatbot', 'MindForeverVoyaging/trythis', 'sergeipetrov/rag-gradio-transformers', 'akazakov/rag-gradio-sample-project', 'pavvloff/rag-gradio', 'ritalatuha/rag', 'Kfirg/rag-gradio-sample-project']",26
